series,time_s,value
std_accel_z,97.656,3.332
std_accel_z,97.794,3.3146
pitch_angle,-0.106,0.8982
pitch_angle,0.033,0.9504
pitch_angle,0.172,1.0373
pitch_angle,0.31,1.0199
pitch_angle,0.449,1.0373
pitch_angle,0.588,0.9851
pitch_angle,0.726,0.9677
pitch_angle,0.865,0.9677
pitch_angle,1.004,0.9851
pitch_angle,1.142,1.072
pitch_angle,1.281,1.0894
pitch_angle,1.42,1.0025
pitch_angle,1.558,1.0025
pitch_angle,1.697,1.0547
pitch_angle,1.836,1.0199
pitch_angle,1.974,1.0199
pitch_angle,2.113,1.072
pitch_angle,2.252,1.0894
pitch_angle,2.39,1.1068
pitch_angle,2.529,1.1068
pitch_angle,2.668,1.0894
pitch_angle,2.806,1.0894
pitch_angle,2.945,1.0199
pitch_angle,3.084,1.0025
pitch_angle,3.222,1.0547
pitch_angle,3.361,1.1416
pitch_angle,3.5,1.0373
pitch_angle,3.638,1.0025
pitch_angle,3.777,1.0373
pitch_angle,3.916,1.0373
pitch_angle,4.054,1.0025
pitch_angle,4.193,0.9851
pitch_angle,4.332,1.0025
pitch_angle,4.47,1.0025
pitch_angle,4.609,1.0547
pitch_angle,4.748,1.0025
pitch_angle,4.886,0.9677
pitch_angle,5.025,0.9504
pitch_angle,5.164,0.9677
pitch_angle,5.302,0.9677
pitch_angle,5.441,1.0199
pitch_angle,5.58,1.0025
pitch_angle,5.718,0.9677
pitch_angle,5.857,0.9851
pitch_angle,5.996,1.0025
pitch_angle,6.134,1.0025
pitch_angle,6.273,0.9851
pitch_angle,6.412,0.9677
pitch_angle,6.55,0.9677
pitch_angle,6.689,1.0025
pitch_angle,6.828,1.0373
pitch_angle,6.967,1.072
pitch_angle,7.105,1.0894
pitch_angle,7.244,1.1068
pitch_angle,7.383,1.1068
pitch_angle,7.521,1.0894
pitch_angle,7.66,1.0894
pitch_angle,7.799,1.1068
pitch_angle,7.937,1.0894
pitch_angle,8.076,1.0199
pitch_angle,8.215,1.0199
pitch_angle,8.353,1.0199
